Exercise,Date,Reps,Weight(lbs),Incline,Resistance,multiplier,Volume
Barbell Curl,2020-03-06,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Barbell Curl,2020-01-13,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-03-06,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-12-26,5,44.987344757826754,0.0,0.0,1.0,224.93672378913377
Barbell Curl,2020-03-01,8,54.984532481788264,0.0,0.0,1.0,439.8762598543061
Barbell Curl,2019-12-26,5,44.987344757826754,0.0,0.0,1.0,224.93672378913377
Barbell Curl,2020-01-08,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-03-06,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Barbell Curl,2020-03-06,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Barbell Curl,2020-03-06,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2020-01-08,5,44.987344757826754,0.0,0.0,1.0,224.93672378913377
Barbell Curl,2020-01-08,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-01-08,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2019-12-26,5,44.987344757826754,0.0,0.0,1.0,224.93672378913377
Barbell Curl,2020-01-08,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2019-10-13,12,39.988750895846,0.0,0.0,1.0,479.865010750152
Barbell Curl,2019-12-26,5,44.987344757826754,0.0,0.0,1.0,224.93672378913377
Barbell Curl,2020-03-11,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-12-06,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2019-12-06,8,39.988750895846,0.0,0.0,1.0,319.910007166768
Barbell Curl,2020-03-11,8,49.985938619807506,0.0,0.0,1.0,399.88750895846005
Barbell Curl,2019-12-26,5,44.987344757826754,0.0,0.0,1.0,224.93672378913377
Barbell Curl,2020-03-06,10,49.985938619807506,0.0,0.0,1.0,499.8593861980751
Barbell Curl,2019-10-13,12,39.988750895846,0.0,0.0,1.0,479.865010750152
Barbell Curl,2020-01-20,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-13,6,44.987344757826754,0.0,0.0,1.0,269.92406854696054
Barbell Curl,2020-01-17,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-17,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-17,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-17,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-17,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2019-10-20,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-03-01,8,54.984532481788264,0.0,0.0,1.0,439.8762598543061
Barbell Curl,2020-03-01,8,54.984532481788264,0.0,0.0,1.0,439.8762598543061
Barbell Curl,2019-10-20,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2019-10-20,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
Barbell Curl,2020-01-17,4,49.985938619807506,0.0,0.0,1.0,199.94375447923002
Barbell Curl,2020-01-17,6,49.985938619807506,0.0,0.0,1.0,299.915631718845
